RowNum,output,input,instruction
0,SMEs for expert stories ,"Phillip Good Morning! I hope you had a wonderful Thanksgiving with your family and safe travels. As per our meeting on Tuesday, please identify people you think will be good for the expert story roles. You can provide me a list and either contact them first or provide me with an introduction to get their commitment. Thanks a million in advance for your continued support of this project.  ",Summarize the email and create a subject line.
1,Priority List ,"Will,   Here is a list of the top items we need to work on to improve the position  and p&l reporting for the west desk. My underlying goal is to create position managers and p&l reports that  represent all the risk held by the desk and estimate p&l with great accuracy. Let's try and schedule a meeting for this Wednesday to go over the items  above. Phillip  ",Summarize the email and create a subject line.
2,AIG positions ,"John,  As discussed, the AIG exposure is $57MM, and it is distributed among the price, option, and exotic books. The attached spreadsheet details the dollar value and volume by month by book. Please call if you have questions. Tanya  ",Summarize the email and create a subject line.
3,LNG Update ,"John, Would you have 45 minutes later this week for Eric and myself? We'd like to give you a quick update on whats happening in the Atlantic basin in LNG, and also get an update from you on where the US Natgas market is heading. Thanks,  ",Summarize the email and create a subject line.
4,Small world! ,"Hey John! How are you?? I've been following the Enron story closely, which means I've thought of you a lot recently. I hope things are going well, despite the uncertainty. I ran into someone from our Enron days today, which made me think of a funny story. Do you remember when John Mee tried to eat 8 Big Macs and hurled instead? John was talking to my boss, Chuck Clough, today, who he's known since childhood and is a mentor of sorts. When he got off the phone, Chuck told me who he was talking to and the name John Mee struck me as familiar. I asked Chuck if he was a big kid who'd gone to Harvard and he said yes. So I tell him the Big Mac story and Chuck picks up the phone and calls John to ask him if that was him because if so, I knew him. Poor thing says ""yeah, that was me, but not one of my finer moments...""  I could tell he was embarrassed. I guess there are some things in life you just never live down. I also ran into some friends of yours in Bermuda last month. We shared a cab to the airport and realized we had all been at Enron, though not at the same time. I mentioned that I really loved the company, especially how young it was and that I had a friend who joined right out of undergrad and is now doing really well. They immediately said ""John Arnold!"" Shocked the hell out of me, honestly. They were very funny in saying that I had made a ""bad trade"" by marrying my husband instead of you. I told them I would keep that in mind....  ;-}  I would tell you their names, but I can't remember off the top of my head. They both work for a weather trading firm in the Northeast now, with Lynda Clemmons. Well, gotta run to the gym - been putting it off as long as I could today. I really do hope you're doing well. Please drop me a line when you aren't trading up a storm... Warm regards,  ",Summarize the email and create a subject line.
5,Good Morning ,"Hi Eric,   It looks like Enron employees have an enterprising spirit according to the H. Chronicle. Ebay is saturated with Enron goodies. This is quite amusing. Sorry about tonight and we will miss you on your birthday. We will celebrate whenever you wish, just let us know. If you change your mind about tomorrow, email me. Donnita and Jason are coming over for dinner. We would love for you to come. Have a wonderful day. LU-M  ",Summarize the email and create a subject line.
6,We can still get it there! ,"Dear Eric,  If you have last minute shopping to do, Omaha Steaks can still get  your gift there in time for Christmas! But hurry, you must order by  9 a.m. (CST) Saturday, December 22nd and select Overnight Delivery to  ensure your package arrives before Christmas Day! Since you'll need to select Overnight Shipping to ensure Christmas  Delivery, we are also taking an additional $24.00 discount off the  price of each of these e-mail specials! If you don't need it there by  December 24th, you'll still save the extra $24.00! Simply select your  shipping service when completing your order.  ",Summarize the email and create a subject line.
7,Paintball Tomorrow ,We are getting a group together to play paintaball tomorrow at around 10 am. We will be playing at Adventure Village (just north of Intercontinental  Airport on FM 1960). Their website is www.adventurevillage.com. The total  cost should be somewhere between $30-$40 per person ( about $15 for a gun and  $6 per 100 paintballs). Let me know if you can make it.  ,Summarize the email and create a subject line.
8,League is Set ,"It looks like we have our 12 teams. We will probably keep the same rules  from last year unless anybody has an objection. Still to be determined are  league fees, draft date , and free agent pickup protocol. I suggest that we  draft on August 27th at the Enron building on floor 26. For those of you  that can't make it, you can draft over the internet. We will be using cbs  sportsline again - I think that will be $8/person. Let me know if anyone has a problem with the draft date, i.e. can't make it,  too early, too late. If not, THE MEXIMULLETS look forward to a return to Prominence this year. You all do not stand a chance!  ",Summarize the email and create a subject line.
9,Program Changes ,"Celeste,  I am writing to get some clarification on how the recent changes to the  program affect my eligibility for promotion. At the end of last year you  informed me that I was not eligible for promotion to associate until the mid  year review (my 2 year anniversary). It was my impression that the only  reason that I was held back from promotion into the associate program was  tenure. Now, after reading the memo, it seems as if I will not be eligible  for promotion to associate until I complete 3 years in the program. I am wondering if I am still eligible for promotion to associate during this  PRC? Thank you in advance for your prompt attention to this matter. Eric Bass x3-0977  ",Summarize the email and create a subject line.
10,Hang in There! ,"Don...  Chuck  updated me on the status of our discussions re. trading and creating a  TradersNews Energy product on EOL. I fully understand  that corporately, you have a lot on your plate right now and we will be  patient. I would like to meet with you in a few weeks when the dust  settles a bit. I do have a one  quick question....  My sources indicate that Enron has agreed to place a  Megawatt-Daily Cinergy Hourly product on EOL within 2 weeks. Is this a  true statement?  ",Summarize the email and create a subject line.
11,Subject:  Entergy OASIS outage between 01:00 and 05:00 CST on  11/17/2001 ,"On November 17, 2001 between 01:00 and 05:00 Entergy will be switching to an OASIS node provided by ESCA. During the outage customers will NOT have access to the current OASIS site provided by MAIN. Once the OASIS comes back online there will be a link at the current OASIS site provided by MAIN that will direct customers to the new OASIS site provided by ESCA. Once the new OASIS node is up, the customers should not have any trouble accessing the site. You have received this email because your email address is listed as a valid customer email with Tradewave. If you feel you have received this email in error, please contact your system administrator and have your profile changed or removed from Tradewave. Entergy Transmission Operations  ",Summarize the email and create a subject line.
12,"PJM West Implementation Delay to March 1, 2002 ","Transmission Customers:  Since FERC did not act on our September 11, 2001, PJM West compliance filing (Docket No. RT01-98-000) at its December 19th meeting, Allegheny Power (AP) will need to delay the start of the PJM West arrangement until March 1, 2002. In order to accommodate the further delay in the start date, AP will need to sell transmission service under the AP OATT and on the AP OASIS for the month of February 2002. To accomplish this, AP will do the following:  *	AP will attempt to call the Transmission Customers that have ""confirmed"" point-to-point transmission service reservations on the PJM OASIS for the paths that are not currently valid for PJM (AEP and DLCO) by 4:30 p.m. on December 21 to determine if they need comparable service on the AP system. If that is the case, AP will honor the ""confirmed"" reservations and the PJM OASIS timestamps. *	Yearly service that was not given the option to exercise roll-over rights on the PJM paths (AP to PJM and PJM to AP) will be given the option to extend that service through the month of February. AP will attempt to call these Transmission Customers by 4:30 p.m. on December 21. *	ATCs for the month of February will be uploaded to the AP OASIS starting at 8 a.m. on December 24. The upload will include all valid AP paths (AEP, PJM, VAP, FE and DLCO). *	Transmission Marketing will post a message on the OASIS when the ATC upload is started and when it is complete. *	Transmission service beyond March 1, 2002, will continue to be sold by PJM per the Interim Coordination Agreement that was filed with FERC on February 12, 2001. *	January 30, 2002, is the last scheduled FERC meeting in January. If FERC does not act on our filing at that time, the start of the PJM West arrangement may then be delayed until April 1, 2002. Further information will be provided at that time, if necessary.  ",Summarize the email and create a subject line.
13,ENW in ECS - Revised Again ,I left off three Operational Analysis people who recently moved to ECS from ECN. They are at the bottom. Hopefully this is the last change!  ,Summarize the email and create a subject line.
14,AEP_HPL Transition Issues ,"Attached is an updated transitions list. Please review and send any changes so I can update. I will update again Thursday and will include a column for status. We are in the process of drafting procedures which will have to become a formal protocol for AEP. These are:  Request for New/maintenance of counterparties. Once Web page is developed, procedures will be completed. Request for new portfolios (books) after close. Drafting procedures. Request for new employee security. Request to change curve mapping in ERMS/CPS. Drafting procedures. Also, it appears the IT service agreement may have to be amended to cover the  Web pages used to push operational data to customers (If AEP wants to continue the service) and the Tariff filing system we just put into production. Also, we will need to resolve how we handle counterparties that Enron credit has request we suspend trading when AEP wants to continue trading. We have had discussions with AEP about all of these issues and procedures.  ",Summarize the email and create a subject line.
15,Enterprise Wide Risk Management ,"Hello, everyone. I'm hoping you know of someone who would be a good fit fo= r an interesting opportunity in Market Risk Management in RAC:  We're looking for a director level accountant or risk management operations=  person who can join the Strategic Risk Management (SRM) group within Marke= t Risk Management to work on the Asset/Liability piece of Enterprise Risk M= anagement project as we team up with Vince Kaminski's Research group on thi= s challenging new initiative. The ideal candidate would have Enron experience and be a good project manag= er, accustomed to working in self-directed situations, able to work with an= d gain the team support of  mid and upper level management in  research, ac= counting, risk management operations, finance, treasury, RAC, the business = units, etc.. They would need to be able to articulate for top support and = commercial management any project issues and implementation challenges, and=  would be working with risk mgmt operations and the business units on the i= mplementation efforts and process design. Someone able to take full respon= sibility for this long term project from its infancy through completion, de= signing a plan of attack, and then leading the implementation effort. This=  person might also act as a consultant for SRM's other initiatives that imp= act accounting. Ideally, of course, this person would understand risk mana= gement (risk books, trading operations, etc. ), but someone who understands = the different types of risks inherent in our strategic assets and accrual a= ccounting contracts might also be a good fit if they're self-motivated and = willing to dig in and learn the risk management business. I think it's a great opportunity for someone to broaden their resume and ga= in market risk management expertise. We've met with top risk management co= nsultants, and this is a cutting edge initiative that will put us head and = shoulders above our peers. If you want to forward this to potential candidates, below are some links t= o websites that may provide some overview information on asset-liability / = EW risk management (I haven't reviewed the sites myself yet). Also, Vince'= s outline on Enterprise Risk Management from early last year is attached be= low. =20  Please call me if you know of someone who might be interested. Thanks for your help,  ",Summarize the email and create a subject line.
16,"ERMS Discount Memo as of May 25, 2001 ",To all:  The current model is discounting the financial contracts improperly. The financial contracts based on a contract month is being discounted an extra 50 days on average. We are currently working on a process to correct the model by next month. Please call me or Chris Abel if you have questions. Thanks  ,Summarize the email and create a subject line.
17,Girls Inc. ,"Hi Sally - I hear that the luncheon today was fun. I'm sorry to have missed it! Girls Inc. would love to have an Enron exec on their board and I wanted to see if that is something you are interested in doing. If so, I can get you detailed information about the board commitment, etc. Let me know what you think. I'm working from home tomorrow (Wed.), but I am checking both voice mail and e-mail. Feel free to call me here, also - 713-524-2555. Thanks again for attending the lunch today. Missy  ",Summarize the email and create a subject line.
18,Suggestions to help short term morale ,"Sally, some thoughts/ideas that I thought about after your meeting. Lets promote the positive - some very exciting things are happening such as the move to the new building, lets make sure we get the PR out there to talk about the new features, move in plans, etc. I know security is tight but how about a mini open house. At this point it would do us good to go beyond the ""Building Guy"". I know I get excited whenever I'm over there. Things like vendors in the lobby to push new technology etc. I believe it's important to keep that almost ""electric"" atmosphere that surrounds the company. Lets show our employees that our outside business relationships are as strong as ever and our vendors/business partners still view Enron as someone they are eager to continue doing business with. I always get charged up when the lobby is full of activity. Keeps the pulse of Enron at a high level. Get some fun things out there, things the employees can purchase, electronic devices are always attractive. Work out a decent discount to make it exciting. Give it a holiday twist. Even if it costs us a few bucks to make that happen might be worth it. Make a push to host more industry meetings (GISB is one that I can help with). Lets get our counterparties in here and let them know nothing has changed. We can include mini tours of the new building to get the word back on the street about how we might be down but boy are we poised to grow, grow and grow some more. I mentioned to you that I believe it's important for the Executive team to show up often to reassure our employees that yes there are real, caring people running this company. Maybe some impromptu floor meetings to talk about recent events. Let them feel like there is a real connection. Make it personal and regular. Thanks for listening, the sense from my group has been okay. Lots of concerns but nobody running out the door at this point. I'll keep you posted. Bob Superty  ",Summarize the email and create a subject line.
19,Giga Trend Talk ,"Sally/Greg,   I have been offered the opportunity by Giga (our IT research company) to have their head researcher come in to give an informal talk to our ENW leaders on what Giga see as major trends in IT in 2002. I've accepted this offer and will have him present at our ENW staff meeting on 8th November. I think it might be quite interesting, hope you do too. Regards  ",Summarize the email and create a subject line.
20,UT Candidate ,"Sally:   I enjoyed the ENW presentation this morning, it looks like a great place to be. I am on the UT campus recruiting team and I know a strong candidate that I feel would be a very good fit for an IT position in ENW. He graduated this May and has been trying unsuccessfully for make contact with Enron recruiters for some time. Could you possibly pass on this resume to an appropriate person in recruiting? Thanks for the help.  ",Summarize the email and create a subject line.
21,Enron Europe New Account Opening Policy ,"Sally / Bill / Shawn  This is a quick note to let you know that as of Monday 1 October Enron Europe will be introducing a robust New Account Opening Policy for all trading counterparties. The Operational Credit team will be responsible for ensuring the smooth roll-out of the policy and for ensuring compliance with it. The salient points of the policy are that:  traders will be more accountable for relevant Regulatory and internal compliance concerning their counterparties; money laundering checks will be completed for all new counterparties prior to trading; the Compliance Group will give sign off for all new counterparties prior to trading; RAC will give sign off for all new counterparties prior to trading. These controls are already in place for the majority of Enron Europe's counterparties, however, the introduction of the Policy enables us to demonstrate this more effectively to the Regulators and to monitor compliance more easily. I attach the policy below. If you have any questions pls give me a call on +44 7783 5261. Thanks   -   Sam  ",Summarize the email and create a subject line.
22,Contractors ,"Sally,  Here is a first cut at our contractor cuts. I am still working on the rates/monthly savings. In most cases, I guessed. I should have updated rates tomorrow. Please let me know if you have any questions. JR  ",Summarize the email and create a subject line.
23,EBS-Sale Preparation ,"Mark and Jim, As part of pulling together Data Room for possible EBS sale, we are asked to come up with information regarding in-house developed software and labor cost. I would like to have your direction on the policy question whether to include Enfiber and Sabor Settlement systems. Sabor Settlement system is using Unify Settlement as the foundation and Enfiber is patterned after EnPower which potentially could give some valuable competitive insight into our Trading. Do you think these systems should be included in the EBS sales package? As shown on the attachment, those systems are included at the present time. Thank you. (including PPCS/Dorado)  ",Summarize the email and create a subject line.
24,Maternity Leave ,"I will begin my maternity leave on Monday, November 19. In my absence, Katherine Chisley will be covering for Mark Pickering and myself. For assistance with Mark's calendar, please contact Katherine Chisley at x58463. Katherine will also have access to my email. Thank you,  ",Summarize the email and create a subject line.
25,Expense Reports Awaiting Your Approval ,The following reports have been waiting for your approval for more than 4 days. Please review. Owner: Beth W Apollo Report Name: General Expenses - Sept & Oct Days In Mgr. Queue: 10  Owner: Kevin G Sweeney Report Name: 11/09/2001 Days In Mgr. Queue: 10  ,Summarize the email and create a subject line.
26,New Cash Approval Tool ,"The New Cash Approval Tool is ready for use. Please begin using the new process as soon as possible. We will continue to run payment proposals through Thursday to provide a transition period for catching same day and next day items until the process is in full swing. For those of you who started working with your data yesterday and have set items for payment on Wednesday, we will be working with George to review these items today. There will be a communication coming out from Ray Bowen shortly introducing the new process and the changes being made. Please help communicate the changes within your business unit. The success of this process is very dependent on you helping enforce the guidelines. If you have any questions or need any assistance, please call me at 5-4866. Note:  The transaction code to get into the tool is ZEBOI.  ",Summarize the email and create a subject line.
27,"Brainstorming Session - Friday, January 12 ","I would like to invite each of you to participate in a brainstorming session  with me on Friday, January 12 from 8:30 am through lunch. The purpose of  this meeting will be to surface and capture ideas around the potential  commercialization of mid and back office services that we provide. I know  that many of you have ideas about services and/or products that could be  marketed and some of you have been involved in arrangements where we have or  are currently providing services to outside parties. While there are efforts  underway with certain modules under CommodityLogic, I want this session to be  used to take a broader look at how we might market mid and back office  services. I hope that you will be able to attend. Details on location of the meeting and more exact timing will be sent to you  on Monday when Patti returns from vacation.  ",Summarize the email and create a subject line.
28,I Need Your Info on Cheryl Ingstad for Year End Associate PRC  Meeting ,"I am resending this memo regarding the information that I need from you as  Cheryl Ingstad's supervisor as I prepare to represent her in the Associates  PRC meeting next week. I am tied up in other PRC meetings on December 7, 8  and 11, so I am doing my homework earlier rather than later this week. Please note the bullet points in the memo below which outline the information  that I need. I do have copies of the internal feedback forms and Cheryl's  self-evaluation. Let me know if you have any questions. I know that things  are very busy right now, but it is important to the Associates that their  reps in the PRC process are well prepared. Your input will help me with  that. Thanks. --Sally  ",Summarize the email and create a subject line.
